stock_id,date,持股分級,人數,持有股數,占集保庫存數比例
000218,2026-06-26,1,0,0,0.0
000218,2026-06-26,2,0,0,0.0
000218,2026-06-26,3,0,0,0.0
000218,2026-06-26,4,0,0,0.0
000218,2026-06-26,5,0,0,0.0
000218,2026-06-26,6,0,0,0.0
000218,2026-06-26,7,0,0,0.0
000218,2026-06-26,8,0,0,0.0
000218,2026-06-26,9,0,0,0.0
000218,2026-06-26,10,0,0,0.0
000218,2026-06-26,11,0,0,0.0
000218,2026-06-26,12,0,0,0.0
000218,2026-06-26,13,0,0,0.0
000218,2026-06-26,14,0,0,0.0
000218,2026-06-26,15,1,422278902,100.0
000218,2026-06-26,17,1,422278902,100.0
000560,2026-06-26,1,0,0,0.0
000560,2026-06-26,2,0,0,0.0
000560,2026-06-26,3,0,0,0.0
000560,2026-06-26,4,0,0,0.0
000560,2026-06-26,5,0,0,0.0
000560,2026-06-26,6,0,0,0.0
000560,2026-06-26,7,0,0,0.0
000560,2026-06-26,8,0,0,0.0
000560,2026-06-26,9,0,0,0.0
000560,2026-06-26,10,0,0,0.0
000560,2026-06-26,11,0,0,0.0
000560,2026-06-26,12,0,0,0.0
000560,2026-06-26,13,0,0,0.0
000560,2026-06-26,14,0,0,0.0
000560,2026-06-26,15,1,29700000,100.0
000560,2026-06-26,17,1,29700000,100.0
000708,2026-06-26,1,0,0,0.0
000708,2026-06-26,2,0,0,0.0
000708,2026-06-26,3,0,0,0.0
000708,2026-06-26,4,0,0,0.0
000708,2026-06-26,5,0,0,0.0
000708,2026-06-26,6,0,0,0.0
000708,2026-06-26,7,0,0,0.0
000708,2026-06-26,8,0,0,0.0
000708,2026-06-26,9,0,0,0.0
000708,2026-06-26,10,0,0,0.0
000708,2026-06-26,11,0,0,0.0
000708,2026-06-26,12,0,0,0.0
000708,2026-06-26,13,0,0,0.0
000708,2026-06-26,14,0,0,0.0
000708,2026-06-26,15,1,20200000,100.0
000708,2026-06-26,17,1,20200000,100.0
000779,2026-06-26,1,0,0,0.0
000779,2026-06-26,2,0,0,0.0
000779,2026-06-26,3,0,0,0.0
000779,2026-06-26,4,0,0,0.0
000779,2026-06-26,5,0,0,0.0
000779,2026-06-26,6,0,0,0.0
000779,2026-06-26,7,0,0,0.0
000779,2026-06-26,8,0,0,0.0
000779,2026-06-26,9,0,0,0.0
000779,2026-06-26,10,0,0,0.0
000779,2026-06-26,11,0,0,0.0
000779,2026-06-26,12,0,0,0.0
000779,2026-06-26,13,0,0,0.0
000779,2026-06-26,14,0,0,0.0
000779,2026-06-26,15,1,1150000000,100.0
000779,2026-06-26,17,1,1150000000,100.0
000815,2026-06-26,1,0,0,0.0
000815,2026-06-26,2,0,0,0.0
000815,2026-06-26,3,0,0,0.0
000815,2026-06-26,4,0,0,0.0
000815,2026-06-26,5,0,0,0.0
000815,2026-06-26,6,0,0,0.0
000815,2026-06-26,7,0,0,0.0
000815,2026-06-26,8,0,0,0.0
000815,2026-06-26,9,0,0,0.0
000815,2026-06-26,10,0,0,0.0
000815,2026-06-26,11,0,0,0.0
000815,2026-06-26,12,0,0,0.0
000815,2026-06-26,13,0,0,0.0
000815,2026-06-26,14,0,0,0.0
000815,2026-06-26,15,1,2505407068,100.0
000815,2026-06-26,17,1,2505407068,100.0
000856,2026-06-26,1,0,0,0.0
000856,2026-06-26,2,0,0,0.0
000856,2026-06-26,3,0,0,0.0
000856,2026-06-26,4,0,0,0.0
000856,2026-06-26,5,0,0,0.0
000856,2026-06-26,6,0,0,0.0
000856,2026-06-26,7,0,0,0.0
000856,2026-06-26,8,0,0,0.0
000856,2026-06-26,9,0,0,0.0
000856,2026-06-26,10,0,0,0.0
000856,2026-06-26,11,0,0,0.0
000856,2026-06-26,12,0,0,0.0
000856,2026-06-26,13,0,0,0.0
000856,2026-06-26,14,0,0,0.0
000856,2026-06-26,15,1,231800000,100.0
000856,2026-06-26,17,1,231800000,100.0
00400A,2026-06-26,1,11500,3186327,0.19
00400A,2026-06-26,2,70079,169694874,10.64
00400A,2026-06-26,3,20253,177253950,11.11
00400A,2026-06-26,4,5729,75825475,4.75
00400A,2026-06-26,5,5939,114599259,7.18
00400A,2026-06-26,6,4694,127002110,7.96
00400A,2026-06-26,7,1979,72970803,4.57
00400A,2026-06-26,8,2362,114638408,7.19
00400A,2026-06-26,9,2968,233393777,14.64
00400A,2026-06-26,10,1106,164883388,10.34
00400A,2026-06-26,11,322,91472617,5.73
00400A,2026-06-26,12,81,39995896,2.5
00400A,2026-06-26,13,30,20765599,1.3
00400A,2026-06-26,14,15,14251513,0.89
00400A,2026-06-26,15,38,174206004,10.92
00400A,2026-06-26,17,127095,1594140000,100.0
00401A,2026-06-26,1,1393,329469,0.13
00401A,2026-06-26,2,10242,24701128,10.16
00401A,2026-06-26,3,3077,27777383,11.43
00401A,2026-06-26,4,601,8071461,3.32
00401A,2026-06-26,5,904,17641894,7.26
00401A,2026-06-26,6,606,16853426,6.93
00401A,2026-06-26,7,212,7896863,3.25
00401A,2026-06-26,8,377,18558290,7.64
00401A,2026-06-26,9,407,34104265,14.04
00401A,2026-06-26,10,105,16295500,6.7
00401A,2026-06-26,11,34,9949000,4.09
00401A,2026-06-26,12,7,3306000,1.36
00401A,2026-06-26,13,1,692000,0.28
00401A,2026-06-26,14,2,1810000,0.74
00401A,2026-06-26,15,14,54908321,22.6
00401A,2026-06-26,17,17982,242895000,100.0
00402A,2026-06-26,1,2083,591057,0.06
00402A,2026-06-26,2,31494,82025957,9.69
00402A,2026-06-26,3,10628,95867562,11.33
00402A,2026-06-26,4,2596,34835388,4.11
00402A,2026-06-26,5,3367,66001307,7.8
00402A,2026-06-26,6,2422,67280586,7.95
00402A,2026-06-26,7,762,28660679,3.38
00402A,2026-06-26,8,1344,66361238,7.84
00402A,2026-06-26,9,1441,121842070,14.39
00402A,2026-06-26,10,513,81065507,9.58
00402A,2026-06-26,11,161,47535004,5.61
00402A,2026-06-26,12,77,39241013,4.63
00402A,2026-06-26,13,14,10085000,1.19
00402A,2026-06-26,14,17,16759000,1.98
00402A,2026-06-26,15,24,87975632,10.39
00402A,2026-06-26,17,56943,846127000,100.0
00403A,2026-06-26,1,58033,16850614,0.1
00403A,2026-06-26,2,512170,1315413374,8.37
00403A,2026-06-26,3,177546,1548112376,9.85
00403A,2026-06-26,4,56157,746509623,4.75
00403A,2026-06-26,5,58657,1132130814,7.2
00403A,2026-06-26,6,47542,1286289596,8.18
00403A,2026-06-26,7,20757,767259113,4.88
00403A,2026-06-26,8,22021,1070068711,6.8
00403A,2026-06-26,9,30664,2391351229,15.21
00403A,2026-06-26,10,11276,1664306478,10.59
00403A,2026-06-26,11,3669,1045496449,6.65
00403A,2026-06-26,12,941,467888409,2.97
00403A,2026-06-26,13,279,198566393,1.26
00403A,2026-06-26,14,226,215560504,1.37
00403A,2026-06-26,15,340,1848215317,11.76
00403A,2026-06-26,17,1000278,15714019000,100.0
00404A,2026-06-26,1,1065,261944,0.08
00404A,2026-06-26,2,13357,34437110,10.95
00404A,2026-06-26,3,4628,42510307,13.52
00404A,2026-06-26,4,951,12858360,4.09
00404A,2026-06-26,5,1457,28687586,9.12
00404A,2026-06-26,6,938,26150847,8.32
00404A,2026-06-26,7,288,10797057,3.43
00404A,2026-06-26,8,560,27658300,8.8
00404A,2026-06-26,9,512,42889999,13.64
00404A,2026-06-26,10,154,24503390,7.79
00404A,2026-06-26,11,42,12356000,3.93
00404A,2026-06-26,12,23,11788000,3.75
00404A,2026-06-26,13,0,0,0.0
00404A,2026-06-26,14,2,2000000,0.63
00404A,2026-06-26,15,11,37396100,11.89
00404A,2026-06-26,17,23988,314295000,100.0
00405A,2026-06-26,1,5430,1599381,0.06
00405A,2026-06-26,2,69905,183822623,7.19
00405A,2026-06-26,3,26634,237343763,9.28
00405A,2026-06-26,4,7797,104881092,4.1
00405A,2026-06-26,5,9403,183081455,7.16
00405A,2026-06-26,6,7349,202165494,7.91
00405A,2026-06-26,7,2972,110827326,4.33
00405A,2026-06-26,8,4040,198360568,7.76
00405A,2026-06-26,9,5143,414515950,16.21
00405A,2026-06-26,10,1823,276340299,10.81
00405A,2026-06-26,11,647,185575561,7.26
00405A,2026-06-26,12,183,92495000,3.61
00405A,2026-06-26,13,47,33483800,1.31
00405A,2026-06-26,14,40,38945000,1.52
00405A,2026-06-26,15,77,292307688,11.43
00405A,2026-06-26,17,141490,2555745000,100.0
00406A,2026-06-26,1,1228,315009,0.04
00406A,2026-06-26,2,19029,51607351,7.03
00406A,2026-06-26,3,7796,71673515,9.77
00406A,2026-06-26,4,1682,22749216,3.1
00406A,2026-06-26,5,2866,56402378,7.68
00406A,2026-06-26,6,2053,57857450,7.88
00406A,2026-06-26,7,637,23809124,3.24
00406A,2026-06-26,8,1376,68014814,9.27
00406A,2026-06-26,9,1416,119767310,16.32
00406A,2026-06-26,10,492,78081736,10.64
00406A,2026-06-26,11,186,54314130,7.4
00406A,2026-06-26,12,64,31968009,4.35
00406A,2026-06-26,13,14,10174333,1.38
00406A,2026-06-26,14,14,13788000,1.87
00406A,2026-06-26,15,20,73039625,9.95
00406A,2026-06-26,17,38873,733562000,100.0
00407A,2026-06-26,1,4556,1213056,0.07
00407A,2026-06-26,2,60227,153504810,9.62
00407A,2026-06-26,3,19569,179587947,11.26
00407A,2026-06-26,4,4241,57566529,3.6
00407A,2026-06-26,5,6362,125205513,7.85
00407A,2026-06-26,6,4403,123324858,7.73
00407A,2026-06-26,7,1565,58867199,3.69
00407A,2026-06-26,8,2576,127373399,7.98
00407A,2026-06-26,9,3149,263076116,16.49
00407A,2026-06-26,10,1120,175221547,10.98
