date,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%),stock_id
20260807,1,1-999,7,"2,200",0.11,00687C
20260807,2,"1,000-5,000",2,"6,500",0.33,00687C
20260807,3,"5,001-10,000",3,"21,566",1.11,00687C
20260807,4,"10,001-15,000",0,0,0.00,00687C
20260807,5,"15,001-20,000",1,"17,900",0.92,00687C
20260807,6,"20,001-30,000",0,0,0.00,00687C
20260807,7,"30,001-40,000",2,"74,702",3.84,00687C
20260807,8,"40,001-50,000",0,0,0.00,00687C
20260807,9,"50,001-100,000",0,0,0.00,00687C
20260807,10,"100,001-200,000",0,0,0.00,00687C
20260807,11,"200,001-400,000",0,0,0.00,00687C
20260807,12,"400,001-600,000",0,0,0.00,00687C
20260807,13,"600,001-800,000",0,0,0.00,00687C
20260807,14,"800,001-1,000,000",0,0,0.00,00687C
20260807,15,"1,000,001以上",1,"1,819,400",93.67,00687C
20260807,16,合　計,16,"1,942,268",100.00,00687C
20260731,1,1-999,7,"2,200",0.11,00687C
20260731,2,"1,000-5,000",2,"6,500",0.33,00687C
20260731,3,"5,001-10,000",3,"21,566",1.11,00687C
20260731,4,"10,001-15,000",0,0,0.00,00687C
20260731,5,"15,001-20,000",1,"17,900",0.92,00687C
20260731,6,"20,001-30,000",0,0,0.00,00687C
20260731,7,"30,001-40,000",2,"74,702",3.84,00687C
20260731,8,"40,001-50,000",0,0,0.00,00687C
20260731,9,"50,001-100,000",0,0,0.00,00687C
20260731,10,"100,001-200,000",0,0,0.00,00687C
20260731,11,"200,001-400,000",0,0,0.00,00687C
20260731,12,"400,001-600,000",0,0,0.00,00687C
20260731,13,"600,001-800,000",0,0,0.00,00687C
20260731,14,"800,001-1,000,000",0,0,0.00,00687C
20260731,15,"1,000,001以上",1,"1,819,400",93.67,00687C
20260731,16,合　計,16,"1,942,268",100.00,00687C
20260724,1,1-999,7,"2,200",0.10,00687C
20260724,2,"1,000-5,000",2,"4,500",0.22,00687C
20260724,3,"5,001-10,000",3,"21,466",1.06,00687C
20260724,4,"10,001-15,000",0,0,0.00,00687C
20260724,5,"15,001-20,000",1,"17,900",0.88,00687C
20260724,6,"20,001-30,000",0,0,0.00,00687C
20260724,7,"30,001-40,000",0,0,0.00,00687C
20260724,8,"40,001-50,000",0,0,0.00,00687C
20260724,9,"50,001-100,000",2,"146,802",7.29,00687C
20260724,10,"100,001-200,000",0,0,0.00,00687C
20260724,11,"200,001-400,000",0,0,0.00,00687C
