date,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%),stock_id
20260731,1,1-999,341,"80,977",0.61,00741B
20260731,2,"1,000-5,000",548,"1,256,023",9.56,00741B
20260731,3,"5,001-10,000",124,"1,008,150",7.67,00741B
20260731,4,"10,001-15,000",42,"541,645",4.12,00741B
20260731,5,"15,001-20,000",29,"528,946",4.02,00741B
20260731,6,"20,001-30,000",23,"552,705",4.21,00741B
20260731,7,"30,001-40,000",9,"326,368",2.48,00741B
20260731,8,"40,001-50,000",5,"220,843",1.68,00741B
20260731,9,"50,001-100,000",9,"636,000",4.84,00741B
20260731,10,"100,001-200,000",6,"856,551",6.52,00741B
20260731,11,"200,001-400,000",2,"516,000",3.93,00741B
20260731,12,"400,001-600,000",0,0,0.00,00741B
20260731,13,"600,001-800,000",1,"729,792",5.55,00741B
20260731,14,"800,001-1,000,000",1,"904,000",6.88,00741B
20260731,15,"1,000,001以上",1,"4,970,000",37.85,00741B
20260731,16,合　計,"1,141","13,128,000",100.00,00741B
20260724,1,1-999,333,"78,411",0.62,00741B
20260724,2,"1,000-5,000",561,"1,297,454",10.27,00741B
20260724,3,"5,001-10,000",128,"1,028,737",8.14,00741B
20260724,4,"10,001-15,000",45,"580,785",4.59,00741B
20260724,5,"15,001-20,000",30,"551,868",4.37,00741B
20260724,6,"20,001-30,000",23,"561,182",4.44,00741B
20260724,7,"30,001-40,000",8,"295,916",2.34,00741B
20260724,8,"40,001-50,000",5,"220,843",1.74,00741B
20260724,9,"50,001-100,000",10,"711,000",5.63,00741B
20260724,10,"100,001-200,000",5,"638,647",5.05,00741B
20260724,11,"200,001-400,000",5,"1,219,157",9.65,00741B
20260724,12,"400,001-600,000",1,"474,000",3.75,00741B
20260724,13,"600,001-800,000",0,0,0.00,00741B
20260724,14,"800,001-1,000,000",0,0,0.00,00741B
20260724,15,"1,000,001以上",1,"4,970,000",39.35,00741B
20260724,16,合　計,"1,155","12,628,000",100.00,00741B
20260717,1,1-999,337,"78,298",0.62,00741B
20260717,2,"1,000-5,000",576,"1,340,054",10.61,00741B
20260717,3,"5,001-10,000",127,"1,026,101",8.12,00741B
20260717,4,"10,001-15,000",47,"606,181",4.80,00741B
20260717,5,"15,001-20,000",30,"551,868",4.37,00741B
20260717,6,"20,001-30,000",25,"602,001",4.76,00741B
20260717,7,"30,001-40,000",9,"327,613",2.59,00741B
20260717,8,"40,001-50,000",6,"268,322",2.12,00741B
20260717,9,"50,001-100,000",14,"1,025,934",8.12,00741B
20260717,10,"100,001-200,000",2,"235,000",1.86,00741B
20260717,11,"200,001-400,000",5,"1,191,628",9.43,00741B
20260717,12,"400,001-600,000",1,"405,000",3.20,00741B
20260717,13,"600,001-800,000",0,0,0.00,00741B
20260717,14,"800,001-1,000,000",0,0,0.00,00741B
20260717,15,"1,000,001以上",1,"4,970,000",39.35,00741B
20260717,16,合　計,"1,180","12,628,000",100.00,00741B
20260709,1,1-999,341,"78,665",0.57,00741B
20260709,2,"1,000-5,000",577,"1,329,833",9.75,00741B
20260709,3,"5,001-10,000",133,"1,067,577",7.83,00741B
20260709,4,"10,001-15,000",48,"622,547",4.56,00741B
20260709,5,"15,001-20,000",31,"569,607",4.17,00741B
20260709,6,"20,001-30,000",25,"601,561",4.41,00741B
20260709,7,"30,001-40,000",9,"327,334",2.40,00741B
20260709,8,"40,001-50,000",7,"318,322",2.33,00741B
20260709,9,"50,001-100,000",13,"960,834",7.05,00741B
20260709,10,"100,001-200,000",2,"261,000",1.91,00741B
20260709,11,"200,001-400,000",5,"1,173,720",8.61,00741B
20260709,12,"400,001-600,000",0,0,0.00,00741B
20260709,13,"600,001-800,000",0,0,0.00,00741B
20260709,14,"800,001-1,000,000",0,0,0.00,00741B
20260709,15,"1,000,001以上",2,"6,317,000",46.35,00741B
20260709,16,合　計,"1,193","13,628,000",100.00,00741B
20260703,1,1-999,339,"78,958",0.57,00741B
20260703,2,"1,000-5,000",581,"1,333,228",9.78,00741B
20260703,3,"5,001-10,000",134,"1,079,727",7.92,00741B
20260703,4,"10,001-15,000",49,"634,987",4.65,00741B
20260703,5,"15,001-20,000",34,"626,422",4.59,00741B
20260703,6,"20,001-30,000",25,"601,164",4.41,00741B
20260703,7,"30,001-40,000",9,"327,070",2.39,00741B
20260703,8,"40,001-50,000",7,"318,057",2.33,00741B
20260703,9,"50,001-100,000",13,"939,131",6.89,00741B
20260703,10,"100,001-200,000",3,"470,000",3.44,00741B
20260703,11,"200,001-400,000",4,"1,048,256",7.69,00741B
20260703,12,"400,001-600,000",0,0,0.00,00741B
20260703,13,"600,001-800,000",0,0,0.00,00741B
20260703,14,"800,001-1,000,000",0,0,0.00,00741B
20260703,15,"1,000,001以上",2,"6,171,000",45.28,00741B
20260703,16,合　計,"1,200","13,628,000",100.00,00741B
20260626,1,1-999,344,"81,710",0.59,00741B
20260626,2,"1,000-5,000",588,"1,348,173",9.89,00741B
20260626,3,"5,001-10,000",135,"1,092,065",8.01,00741B
20260626,4,"10,001-15,000",48,"622,801",4.57,00741B
