date,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%),stock_id
20260703,1,1-999,"27,734","1,220,677",0.69,3605
20260703,2,"1,000-5,000","14,208","25,611,402",14.60,3605
20260703,3,"5,001-10,000","1,523","11,407,923",6.50,3605
20260703,4,"10,001-15,000",486,"5,911,126",3.37,3605
20260703,5,"15,001-20,000",256,"4,589,740",2.61,3605
20260703,6,"20,001-30,000",233,"5,708,203",3.25,3605
20260703,7,"30,001-40,000",102,"3,509,498",2.00,3605
20260703,8,"40,001-50,000",63,"2,876,652",1.64,3605
20260703,9,"50,001-100,000",93,"6,550,787",3.73,3605
20260703,10,"100,001-200,000",45,"6,634,410",3.78,3605
20260703,11,"200,001-400,000",21,"5,855,440",3.34,3605
20260703,12,"400,001-600,000",7,"3,281,090",1.87,3605
20260703,13,"600,001-800,000",8,"5,341,160",3.04,3605
20260703,14,"800,001-1,000,000",3,"2,773,048",1.58,3605
20260703,15,"1,000,001以上",28,"84,031,375",47.93,3605
20260703,16,合　計,"44,810","175,302,531",100.00,3605
20260626,1,1-999,"27,832","1,301,468",0.74,3605
20260626,2,"1,000-5,000","16,480","30,639,014",17.48,3605
20260626,3,"5,001-10,000","1,874","13,923,381",7.94,3605
20260626,4,"10,001-15,000",591,"7,215,802",4.11,3605
20260626,5,"15,001-20,000",327,"5,889,647",3.36,3605
20260626,6,"20,001-30,000",266,"6,583,034",3.75,3605
20260626,7,"30,001-40,000",110,"3,769,307",2.15,3605
20260626,8,"40,001-50,000",66,"2,980,217",1.70,3605
20260626,9,"50,001-100,000",100,"6,957,190",3.96,3605
20260626,10,"100,001-200,000",43,"6,221,533",3.54,3605
20260626,11,"200,001-400,000",28,"7,773,192",4.43,3605
20260626,12,"400,001-600,000",7,"3,330,639",1.90,3605
20260626,13,"600,001-800,000",7,"4,869,840",2.77,3605
20260626,14,"800,001-1,000,000",2,"1,787,739",1.01,3605
20260626,15,"1,000,001以上",23,"72,028,336",41.09,3605
20260626,16,合　計,"47,756","175,270,339",100.00,3605
20260618,1,1-999,"28,035","1,354,805",0.77,3605
20260618,2,"1,000-5,000","17,049","31,707,148",18.09,3605
20260618,3,"5,001-10,000","1,917","14,219,632",8.11,3605
20260618,4,"10,001-15,000",603,"7,349,274",4.19,3605
20260618,5,"15,001-20,000",355,"6,384,867",3.64,3605
20260618,6,"20,001-30,000",261,"6,450,292",3.68,3605
20260618,7,"30,001-40,000",111,"3,799,278",2.16,3605
20260618,8,"40,001-50,000",63,"2,833,684",1.61,3605
20260618,9,"50,001-100,000",105,"7,345,421",4.19,3605
20260618,10,"100,001-200,000",41,"6,124,884",3.49,3605
20260618,11,"200,001-400,000",27,"7,850,916",4.47,3605
20260618,12,"400,001-600,000",4,"1,923,344",1.09,3605
20260618,13,"600,001-800,000",6,"4,023,717",2.29,3605
20260618,14,"800,001-1,000,000",4,"3,505,285",1.99,3605
20260618,15,"1,000,001以上",22,"70,391,756",40.16,3605
20260618,16,合　計,"48,603","175,264,303",100.00,3605
20260612,1,1-999,"28,142","1,371,244",0.78,3605
20260612,2,"1,000-5,000","17,275","32,185,893",18.36,3605
20260612,3,"5,001-10,000","1,916","14,229,113",8.11,3605
20260612,4,"10,001-15,000",616,"7,503,599",4.28,3605
20260612,5,"15,001-20,000",345,"6,220,070",3.54,3605
20260612,6,"20,001-30,000",260,"6,386,672",3.64,3605
20260612,7,"30,001-40,000",114,"3,888,202",2.21,3605
20260612,8,"40,001-50,000",61,"2,751,735",1.57,3605
20260612,9,"50,001-100,000",102,"7,150,687",4.08,3605
20260612,10,"100,001-200,000",37,"5,412,030",3.08,3605
20260612,11,"200,001-400,000",29,"8,131,411",4.63,3605
20260612,12,"400,001-600,000",6,"2,929,169",1.67,3605
20260612,13,"600,001-800,000",6,"3,993,779",2.27,3605
20260612,14,"800,001-1,000,000",3,"2,603,336",1.48,3605
20260612,15,"1,000,001以上",22,"70,489,255",40.22,3605
20260612,16,合　計,"48,934","175,246,195",100.00,3605
20260605,1,1-999,"28,291","1,384,646",0.78,3605
20260605,2,"1,000-5,000","17,673","32,693,271",18.65,3605
20260605,3,"5,001-10,000","1,947","14,483,642",8.26,3605
20260605,4,"10,001-15,000",607,"7,368,847",4.20,3605
20260605,5,"15,001-20,000",350,"6,338,028",3.61,3605
20260605,6,"20,001-30,000",262,"6,416,848",3.66,3605
20260605,7,"30,001-40,000",114,"3,884,249",2.21,3605
20260605,8,"40,001-50,000",62,"2,787,185",1.59,3605
20260605,9,"50,001-100,000",104,"7,269,094",4.14,3605
20260605,10,"100,001-200,000",41,"6,038,949",3.44,3605
20260605,11,"200,001-400,000",27,"7,412,423",4.22,3605
20260605,12,"400,001-600,000",6,"3,091,797",1.76,3605
20260605,13,"600,001-800,000",7,"4,755,966",2.71,3605
20260605,14,"800,001-1,000,000",3,"2,591,037",1.47,3605
20260605,15,"1,000,001以上",21,"68,813,713",39.25,3605
20260605,16,差異數調整（說明4）,,"-46,992",-0.02,3605
