stock_id,date,持股分級,人數,持有股數,占集保庫存數比例
000218,2026-03-06,1,0,0,0.0
000218,2026-03-06,2,0,0,0.0
000218,2026-03-06,3,0,0,0.0
000218,2026-03-06,4,0,0,0.0
000218,2026-03-06,5,0,0,0.0
000218,2026-03-06,6,0,0,0.0
000218,2026-03-06,7,0,0,0.0
000218,2026-03-06,8,0,0,0.0
000218,2026-03-06,9,0,0,0.0
000218,2026-03-06,10,0,0,0.0
000218,2026-03-06,11,0,0,0.0
000218,2026-03-06,12,0,0,0.0
000218,2026-03-06,13,0,0,0.0
000218,2026-03-06,14,0,0,0.0
000218,2026-03-06,15,1,422278902,100.0
000218,2026-03-06,17,1,422278902,100.0
000560,2026-03-06,1,0,0,0.0
000560,2026-03-06,2,0,0,0.0
000560,2026-03-06,3,0,0,0.0
000560,2026-03-06,4,0,0,0.0
000560,2026-03-06,5,0,0,0.0
000560,2026-03-06,6,0,0,0.0
000560,2026-03-06,7,0,0,0.0
000560,2026-03-06,8,0,0,0.0
000560,2026-03-06,9,0,0,0.0
000560,2026-03-06,10,0,0,0.0
000560,2026-03-06,11,0,0,0.0
000560,2026-03-06,12,0,0,0.0
000560,2026-03-06,13,0,0,0.0
000560,2026-03-06,14,0,0,0.0
000560,2026-03-06,15,1,29700000,100.0
000560,2026-03-06,17,1,29700000,100.0
000708,2026-03-06,1,0,0,0.0
000708,2026-03-06,2,0,0,0.0
000708,2026-03-06,3,0,0,0.0
000708,2026-03-06,4,0,0,0.0
000708,2026-03-06,5,0,0,0.0
000708,2026-03-06,6,0,0,0.0
000708,2026-03-06,7,0,0,0.0
000708,2026-03-06,8,0,0,0.0
000708,2026-03-06,9,0,0,0.0
000708,2026-03-06,10,0,0,0.0
000708,2026-03-06,11,0,0,0.0
000708,2026-03-06,12,0,0,0.0
000708,2026-03-06,13,0,0,0.0
000708,2026-03-06,14,0,0,0.0
000708,2026-03-06,15,1,20200000,100.0
000708,2026-03-06,17,1,20200000,100.0
000779,2026-03-06,1,0,0,0.0
000779,2026-03-06,2,0,0,0.0
000779,2026-03-06,3,0,0,0.0
000779,2026-03-06,4,0,0,0.0
000779,2026-03-06,5,0,0,0.0
000779,2026-03-06,6,0,0,0.0
000779,2026-03-06,7,0,0,0.0
000779,2026-03-06,8,0,0,0.0
000779,2026-03-06,9,0,0,0.0
000779,2026-03-06,10,0,0,0.0
000779,2026-03-06,11,0,0,0.0
000779,2026-03-06,12,0,0,0.0
000779,2026-03-06,13,0,0,0.0
000779,2026-03-06,14,0,0,0.0
000779,2026-03-06,15,1,1150000000,100.0
000779,2026-03-06,17,1,1150000000,100.0
000815,2026-03-06,1,0,0,0.0
000815,2026-03-06,2,0,0,0.0
000815,2026-03-06,3,0,0,0.0
000815,2026-03-06,4,0,0,0.0
000815,2026-03-06,5,0,0,0.0
000815,2026-03-06,6,0,0,0.0
000815,2026-03-06,7,0,0,0.0
000815,2026-03-06,8,0,0,0.0
000815,2026-03-06,9,0,0,0.0
000815,2026-03-06,10,0,0,0.0
000815,2026-03-06,11,0,0,0.0
000815,2026-03-06,12,0,0,0.0
000815,2026-03-06,13,0,0,0.0
000815,2026-03-06,14,0,0,0.0
000815,2026-03-06,15,1,692412444,100.0
000815,2026-03-06,17,1,692412444,100.0
000856,2026-03-06,1,0,0,0.0
000856,2026-03-06,2,0,0,0.0
000856,2026-03-06,3,0,0,0.0
000856,2026-03-06,4,0,0,0.0
000856,2026-03-06,5,0,0,0.0
000856,2026-03-06,6,0,0,0.0
000856,2026-03-06,7,0,0,0.0
000856,2026-03-06,8,0,0,0.0
000856,2026-03-06,9,0,0,0.0
000856,2026-03-06,10,0,0,0.0
000856,2026-03-06,11,0,0,0.0
000856,2026-03-06,12,0,0,0.0
000856,2026-03-06,13,0,0,0.0
000856,2026-03-06,14,0,0,0.0
000856,2026-03-06,15,1,231800000,100.0
000856,2026-03-06,17,1,231800000,100.0
0050  ,2026-03-06,1,973564,288321270,1.69
0050  ,2026-03-06,2,994144,2279499389,13.41
0050  ,2026-03-06,3,247045,1826563669,10.74
0050  ,2026-03-06,4,98032,1215407357,7.15
0050  ,2026-03-06,5,56795,1006099895,5.92
0050  ,2026-03-06,6,50294,1241936517,7.3
0050  ,2026-03-06,7,24788,869599640,5.11
0050  ,2026-03-06,8,13523,612037251,3.6
0050  ,2026-03-06,9,22640,1559442036,9.17
0050  ,2026-03-06,10,7309,989051342,5.82
0050  ,2026-03-06,11,1994,532755259,3.13
0050  ,2026-03-06,12,367,176759526,1.04
0050  ,2026-03-06,13,113,78284847,0.46
0050  ,2026-03-06,14,56,50725718,0.29
0050  ,2026-03-06,15,226,4267042284,25.1
0050  ,2026-03-06,17,2490890,16993500000,100.0
0051  ,2026-03-06,1,5838,1332325,5.55
0051  ,2026-03-06,2,4333,8521243,35.5
0051  ,2026-03-06,3,469,3441203,14.33
0051  ,2026-03-06,4,133,1639931,6.83
0051  ,2026-03-06,5,76,1377862,5.74
0051  ,2026-03-06,6,43,1101348,4.58
0051  ,2026-03-06,7,15,506993,2.11
0051  ,2026-03-06,8,10,454809,1.89
0051  ,2026-03-06,9,16,971636,4.04
0051  ,2026-03-06,10,6,776961,3.23
0051  ,2026-03-06,11,2,563953,2.34
0051  ,2026-03-06,12,2,1140435,4.75
0051  ,2026-03-06,13,3,2171301,9.04
0051  ,2026-03-06,14,0,0,0.0
0051  ,2026-03-06,15,0,0,0.0
0051  ,2026-03-06,17,10946,24000000,100.0
0052  ,2026-03-06,1,102902,27371859,1.16
0052  ,2026-03-06,2,230114,488261529,20.86
0052  ,2026-03-06,3,45466,355896145,15.2
0052  ,2026-03-06,4,14399,185414110,7.92
0052  ,2026-03-06,5,7744,142272878,6.08
0052  ,2026-03-06,6,7258,183097922,7.82
0052  ,2026-03-06,7,2896,103110162,4.4
0052  ,2026-03-06,8,1805,83802520,3.58
0052  ,2026-03-06,9,2706,192117908,8.21
0052  ,2026-03-06,10,776,106311047,4.54
0052  ,2026-03-06,11,224,60150601,2.57
0052  ,2026-03-06,12,41,20369004,0.87
0052  ,2026-03-06,13,35,24368509,1.04
0052  ,2026-03-06,14,18,16714147,0.71
0052  ,2026-03-06,15,65,354201659,15.13
0052  ,2026-03-06,17,416449,2340000000,100.0
0053  ,2026-03-06,1,2059,182466,3.65
0053  ,2026-03-06,2,749,1426068,28.58
0053  ,2026-03-06,3,74,600157,12.03
0053  ,2026-03-06,4,10,132000,2.64
0053  ,2026-03-06,5,15,286000,5.73
0053  ,2026-03-06,6,4,107000,2.14
0053  ,2026-03-06,7,4,142000,2.84
0053  ,2026-03-06,8,2,100000,2.0
0053  ,2026-03-06,9,3,223000,4.47
0053  ,2026-03-06,10,1,196667,3.94
0053  ,2026-03-06,11,2,548642,10.99
0053  ,2026-03-06,12,0,0,0.0
0053  ,2026-03-06,13,0,0,0.0
0053  ,2026-03-06,14,0,0,0.0
0053  ,2026-03-06,15,1,1044000,20.93
0053  ,2026-03-06,17,2924,4988000,100.0
0055  ,2026-03-06,1,3167,883321,1.1
0055  ,2026-03-06,2,6162,12881709,16.07
