stock_id,stock_name
6201,元大富櫃50
00679B,元大美債20年
00687B,國泰20年美債
00687C,國泰20年美債+櫃U
00694B,富邦美債1-3
00695B,富邦美債7-10
00696B,富邦美債20年
00697B,元大美債7-10
00719B,元大美債1-3
00720B,元大投資級公司債
00722B,群益投資級電信債
00723B,群益投資級科技債
00724B,群益投資級金融債
00725B,國泰投資級公司債
00726B,國泰新興投等債
00727B,國泰優選非投等債
00734B,台新JPM新興債
00740B,富邦全球投等債
00741B,富邦全球非投等債
00746B,富邦A級公司債
00749B,凱基新興債10+
00750B,凱基科技債10+
00751B,元大AAA至A公司債
00754B,群益AAA-AA公司債
00755B,群益投資級公用債
00756B,群益投等新興公債
00758B,復華能源債
00759B,復華製藥債
00760B,復華新興企業債
00761B,國泰A級公司債
00764B,群益25年美債
00768B,復華20年美債
00772B,中信高評級公司債
00773B,中信優先金融債
00777B,凱基AAA至A公司債
00778B,凱基金融債20+
00779B,凱基美債25+
00780B,國泰A級金融債
00781B,國泰A級科技債
00782B,國泰A級公用債
00785B,富邦金融投等債
00786B,元大10年IG銀行債
00787B,元大10年IG醫療債
00788B,元大10年IG電能債
00789B,復華公司債A3
00791B,復華信用債1-5
00792B,群益A級公司債
00793B,群益AAA-A醫療債
00795B,中信美國公債20年
00799B,國泰A級醫療債
00834B,第一金金融債10+
00836B,永豐10年A公司債
00840B,凱基IG精選15+
00841B,凱基AAA-AA公司債
00842B,台新美元銀行債
00844B,新光15年IG金融債
00845B,富邦新興投等債
00846B,富邦歐洲銀行債
00847B,中信美國市政債
00848B,中信新興亞洲債
00849B,中信EM主權債0-5
00853B,統一美債10年Aa-A
00856B,永豐1-3年美公債
00857B,永豐20年美公債
858,永豐美國500大
00859B,群益0-1年美債
00860B,群益1-5Y投資級債
00862B,中信投資級公司債
00863B,中信全球電信債
00864B,中信美國公債0-1
00867B,新光A-BBB電信債
00870B,元大15年EM主權債
877,復華中國5G
00883B,中信ESG投資級債
00884B,中信低碳新興債
886,永豐美國科技
887,永豐中國科技50大
888,永豐台灣ESG
00890B,凱基ESG BBB債15+
928,中信上櫃ESG 30
00931B,統一美債20年
00933B,國泰10Y+金融債
00937B,群益ESG投等債20+
00942B,台新美A公司債20+
00948B,中信優息投資級債
00950B,凱基A級公司債
955,中信日本商社
00957B,兆豐US優選投等債
00958B,永豐ESG銀行債15+
00959B,大華投等美債15Y+
00966B,統一ESG投等債15+
00967B,元大優息美債
00968B,元大優息投等債
00969B,元大零息超長美債
00970B,新光BBB投等債20+
9806,台新標普500
9807,台新標普科技精選
00980B,台新特選IG債10+
00980D,主動聯博投等入息
00980T,平衡凱基美國TOP
9814,富邦標普500
9815,大華美國MAG7+
00981B,第一金優選非投債
00981D,主動中信非投等債
00982B,FT投資級債20+
00983B,大華優利美公債20
00984B,大華優利美A債15
00986B,FT金融債10+
00987B,野村10+澳洲公債
20001,富邦存股雙十N
20025,統一亞洲半導體N
20027,元大上櫃ESG成長N
20033,統一恒生科期N
20035,元大上櫃ESG高息N
20040,元大上櫃ESG龍頭N
20041,兆豐半導體氣候N
1240,茂生農經
1259,安心
1264,德麥
1268,漢來美食
1294,漢田生技
1295,生合
1336,台翰
1565,精華
1569,濱川
1570,力肯
1580,新麥
1584,精剛
1586,和勤
1591,駿吉-KY
1593,祺驊
1595,川寶
1599,宏佳騰
1742,台蠟
1777,生泰
1781,合世
1784,訊聯
1785,光洋科
1788,杏昌
1796,金穎生技
1799,易威
1813,寶利徠
1815,富喬
2035,唐榮
2061,風青
2063,世鎧
2064,晉椿
2065,世豐
2066,世德
2067,嘉鋼
2070,精湛
2073,雄順
2221,大甲
2230,泰茂
2235,謚源
2596,綠意
2640,大車隊
2641,正德
2643,捷迅
2718,全心投控
2719,燦星旅
2724,藝舍-KY
2726,雅茗-KY
2729,瓦城
2732,六角
2734,易飛網
2736,富野
2740,天蔥
2743,山富
2745,五福
2751,王座
2752,豆府
2754,亞洲藏壽司
2755,揚秦
2756,聯發國際
2916,滿心
2924,宏太-KY
2926,誠品生活
2937,集雅社
2941,米斯特
2947,振宇五金
2948,寶陞
2949,欣新網
3064,泰偉
3066,李洲
3067,全域
3071,協禧
3073,天方能源
3078,僑威
3081,聯亞
3083,網龍
3085,新零售
3086,華義
3088,艾訊
3093,港建*
3095,及成
3105,穩懋
3114,好德
3115,富榮綱
3118,進階
3122,笙泉
3128,昇銳
3131,弘塑
3141,晶宏
3147,大綜
3152,璟德
3158,嘉實
3162,精確
3163,波若威
3169,亞信
3171,炎洲流通
3176,基亞
3178,公準
3188,鑫龍騰
3191,雲嘉南
3205,佰研
3206,志豐
3207,耀勝
3211,順達
3213,茂訊
3217,優群
3218,大學光
3219,倚強科
3221,台嘉碩
3224,三顧
3226,龍鋒
3227,原相
3228,金麗科
3230,錦明
3232,昱捷
3234,光環
3236,千如
3252,海灣
3259,鑫創
3260,威剛
3264,欣銓
3265,台星科
3268,海德威
3272,東碩
3276,宇環
3284,太普高
3285,微端
3287,廣寰科
3288,點晶
3289,宜特
3290,東浦
3293,鈊象
3294,英濟
3297,杭特
3303,岱稜
3306,鼎天
3310,佳穎
3313,斐成
3317,尼克森
3322,建舜電
3323,加百裕
3324,雙鴻
3325,旭品
3332,幸康
3339,泰谷
3349,寶德
3354,律勝
3357,臺慶科
3360,尚立
3362,先進光
3363,上詮
3372,典範
3373,熱映
3374,精材
3379,彬台
3388,崇越電
3390,旭軟
3402,漢科
3426,台興
3430,奇鈦科
3434,哲固
3438,類比科
3441,聯一光
3444,利機
3455,由田
3465,進泰電子
3466,德晉
3467,台灣精材
3479,安勤
3483,力致
3484,崧騰
3489,森寶
3490,單井
3491,昇達科
3492,長盛
3498,陽程
3499,環天科
3508,位速
3511,矽瑪
3512,皇龍
3516,亞帝歐
3520,華盈
3521,台鋼建設
3522,御嵿
3523,迎輝
3526,凡甲
3527,聚積
3529,力旺
3531,先益
3537,堡達
3540,曜越
3541,西柏
3546,宇峻
3548,兆利
3551,世禾
3552,同致
3555,博士旺
3556,禾瑞亞
3558,神準
3564,其陽
3567,逸昌
3570,大塚
3577,泓格
3580,友威科
3581,博磊
3587,閎康
3594,磐儀
3597,映興
3609,三一東林
3611,鼎翰
3615,安可
3623,富晶通
3624,光頡
3625,西勝
3628,盈正
3629,地心引力
3630,新鉅科
3631,晟楠
3632,研勤
3646,艾恩特
3663,鑫科
3664,安瑞-KY
3666,光耀
3672,康聯訊
3675,德微
3680,家登
3684,榮昌
3685,元創精密
3687,歐買尬
3689,湧德
3691,碩禾
3693,營邦
3707,漢磊
3709,鑫聯大投控
3710,連展投控
3713,新晶投控
4102,永日
4105,東洋
4107,邦特
4109,加捷生醫
4111,濟生
4113,聯上
4114,健喬
4116,明基醫
4120,友華
4121,優盛
4123,晟德
4126,太醫
4127,天良
4128,中天
4129,聯合
4130,健亞
4131,浩泰
4138,曜亞
4139,馬光-KY
4147,中裕
4153,鈺緯
4154,樂威科-KY
4157,太景*-KY
4160,訊聯基因
4161,聿新科
4162,智擎
4163,鐿鈦
4166,友霖
4167,松瑞藥
4168,醣聯
4171,瑞基
4173,久裕
4174,浩鼎
4175,杏一
4183,福永生技
4188,安克
4192,杏國
4198,欣大健康
4205,中華食
4207,環泰
4303,信立
4304,勝昱
4305,世坤
4401,東隆興
4402,郡都開發
4406,新昕纖
4413,飛寶企業
4416,三圓
4417,金洲
4419,皇家美食
4420,光明
4430,耀億
4432,銘旺實
4433,興采
4442,竣邦-KY
4502,健信
4503,金雨
4506,崇友
4510,高鋒
4513,福裕
4523,永彰
4527,方土霖
4528,江興鍛
4529,淳紳
4530,宏易
4533,協易機
4534,慶騰
4535,至興
4538,大詠城
4541,晟田
4542,科嶠
4543,萬在
4549,桓達
4550,長佳
4554,橙的
4556,旭然
4558,寶緯
4561,健椿
4563,百德
4568,科際精密
4577,達航科技
4580,捷流閥業
4584,君帆
4609,唐鋒
4702,中美實
4706,大恭
4707,磐亞
4711,永純
4714,永捷
4716,大立
4721,美琪瑪
4726,永昕
4728,雙美
4729,熒茂
4735,豪展
4741,泓瀚
4743,合一
4744,皇將
4745,合富-KY
4747,強生
4749,新應材
4754,國碳科
4760,勤凱
4767,誠泰科技
4768,晶呈科技
4772,台特化
4804,大略-KY
4806,桂田文創
4903,聯光通
4905,台聯電
4907,富宇
4908,前鼎
4909,新復興
4911,德英
4923,力士
4924,欣厚-KY
4931,新盛力
4933,友輝
4939,亞電
4946,辣椒
4950,金耘國際
4951,精拓科
4953,緯軟
4966,譜瑞-KY
4971,IET-KY
4972,湯石照明
4973,廣穎
4974,亞泰
4979,華星光
4987,科誠
4991,環宇-KY
4995,晶達
5009,榮剛
5011,久陽
5013,強新
5014,建錩
5015,華祺
5016,松和
5201,凱衛
5202,力新
5205,中茂
5206,坤悅
5209,新鼎
5210,寶碩
5211,蒙恬
5212,凌網
5213,亞昕
5220,萬達光電
5223,安力-KY
5227,立凱-KY
5228,鈺鎧
5230,雷笛克光學
5236,凌陽創新
5245,智晶
5251,天鉞電
5263,智崴
5272,笙科
5274,信驊
5276,達輝-KY
5278,尚凡*
5287,數字
5289,宜鼎
5291,邑昇
5299,杰力
5301,寶得利
5302,太欣
5309,系統電
5310,天剛
5312,寶島科
5314,世紀*
5315,光聯
5321,美而快
5324,士開
5328,華容
5340,建榮
5344,立衛
5345,馥鴻
5347,世界
5348,正能量智能
5351,鈺創
5353,台林
5355,佳總
5356,協益
5364,力麗店
5371,中光電
5381,合正
5386,青雲
5392,能率
5398,慕康生醫
5403,中菲
5410,國眾
5425,台半
5426,振發
5432,新門
5438,東友
5439,高技
5443,均豪
5450,南良
5452,佶優
5455,昇益
5457,宣德
5460,同協
5464,霖宏
5465,富驊
5468,凱鈺
5474,聰泰
5475,德宏
5478,智冠
5481,新華
5483,中美晶
5487,通泰
5488,松普
5489,彩富
5490,同亨
5493,三聯
5498,凱崴
5508,永信建
5511,德昌
5512,力麒
5514,三豐
5516,雙喜
5520,力泰
5523,豐謙
5529,鉅陞
5530,龍巖
5536,聖暉*
5543,桓鼎-KY
5547,久舜
5548,安倉
5601,台聯櫃
5603,陸海
5604,中連
5609,中菲行
5701,劍湖山
5703,亞都
5704,老爺知
5864,致和證
5878,台名
5902,德記
5903,全家
5904,寶雅
5905,南仁湖
6015,宏遠證
6016,康和證
6020,大展證
6021,美好證
6023,元大期
6026,福邦證
6101,寬魚國際
6103,合邦
6104,創惟
6109,亞元
6111,光聚晶電
6113,亞矽
6114,久威
6118,建達
6121,新普
6122,擎邦
6123,上奇
6124,業強
6125,廣運
6126,信音
6127,九豪
6129,普誠
6130,上亞科技
6134,萬旭
6138,茂達
6140,訊達
6143,振曜
6144,得利影
6146,耕興
6147,頎邦
6148,驊宏資
6150,撼訊
6151,晉倫
6154,順發
6156,松上
6158,禾昌
6160,欣技
6161,捷波
6163,華電網
6167,久正
6169,昱泉
6170,統振
6171,大城地產
6173,信昌電
6174,安碁
6175,立敦
6179,亞通
6180,橘子
6182,合晶
6185,幃翔
6186,新潤
6187,萬潤
6188,廣明
6190,萬泰科
6194,育富
6195,詩肯
6198,瑞築
6199,天品
6203,海韻電
6204,艾華
6207,雷科
6208,日揚
6210,慶生
6212,理銘
6217,中探針
6218,豪勉
6219,富旺
6220,岳豐
6221,晉泰
6222,立軒
6223,旺矽
6227,茂綸
6228,全譜
6229,研通
6231,系微
6233,旺玖
6234,高僑
6236,中湛
6237,驊訊
6240,松崗
6241,易通展
6242,立康
6244,茂迪
6245,立端
6246,臺龍
6248,沛波
6259,百徽
6261,久元
6263,普萊德
6264,富裔
6265,方土昶
6266,泰詠
6270,倍微
6274,台燿
6275,元山
6276,安鈦克
6279,胡連
6284,佳邦
6290,良維
6291,沛亨
6292,迅德
6294,智基
6411,晶焱
6417,韋僑
6418,詠昇
6419,京晨科
6423,億而得
6425,易發
6432,今展科
6435,大中
6441,廣錠
6461,益得
6462,神盾
6465,威潤
6469,大樹
6470,宇智
6474,華豫寧
6482,弘煜科
6485,點序
6486,互動
6488,環球晶
6492,生華科
6494,九齊
6496,科懋
6498,久禾光
6499,益安
6506,雙邦
6508,惠光
6509,聚和
6510,精測
6512,啟發電
6516,勤崴國際
6517,保勝光學
6523,達爾膚
