date,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%),stock_id
20260313,1,1-999,665,"47,751",3.12,0057
20260313,2,"1,000-5,000",122,"231,367",15.15,0057
20260313,3,"5,001-10,000",9,"67,645",4.42,0057
20260313,4,"10,001-15,000",8,"100,100",6.55,0057
20260313,5,"15,001-20,000",2,"35,296",2.31,0057
20260313,6,"20,001-30,000",2,"58,000",3.79,0057
20260313,7,"30,001-40,000",1,"32,000",2.09,0057
20260313,8,"40,001-50,000",0,0,0.00,0057
20260313,9,"50,001-100,000",1,"56,000",3.66,0057
20260313,10,"100,001-200,000",5,"658,000",43.09,0057
20260313,11,"200,001-400,000",1,"240,841",15.77,0057
20260313,12,"400,001-600,000",0,0,0.00,0057
20260313,13,"600,001-800,000",0,0,0.00,0057
20260313,14,"800,001-1,000,000",0,0,0.00,0057
20260313,15,"1,000,001以上",0,0,0.00,0057
20260313,16,合　計,816,"1,527,000",100.00,0057
20260306,1,1-999,669,"46,186",3.02,0057
20260306,2,"1,000-5,000",122,"231,008",15.12,0057
20260306,3,"5,001-10,000",9,"67,506",4.42,0057
20260306,4,"10,001-15,000",7,"84,100",5.50,0057
20260306,5,"15,001-20,000",2,"34,200",2.23,0057
20260306,6,"20,001-30,000",2,"58,000",3.79,0057
20260306,7,"30,001-40,000",1,"32,000",2.09,0057
20260306,8,"40,001-50,000",0,0,0.00,0057
20260306,9,"50,001-100,000",3,"239,996",15.71,0057
20260306,10,"100,001-200,000",5,"734,004",48.06,0057
20260306,11,"200,001-400,000",0,0,0.00,0057
20260306,12,"400,001-600,000",0,0,0.00,0057
20260306,13,"600,001-800,000",0,0,0.00,0057
20260306,14,"800,001-1,000,000",0,0,0.00,0057
20260306,15,"1,000,001以上",0,0,0.00,0057
20260306,16,合　計,820,"1,527,000",100.00,0057
20260226,1,1-999,480,"42,271",2.76,0057
20260226,2,"1,000-5,000",120,"225,765",14.78,0057
20260226,3,"5,001-10,000",8,"61,006",3.99,0057
20260226,4,"10,001-15,000",8,"99,100",6.48,0057
20260226,5,"15,001-20,000",1,"17,000",1.11,0057
20260226,6,"20,001-30,000",2,"58,000",3.79,0057
20260226,7,"30,001-40,000",1,"32,000",2.09,0057
20260226,8,"40,001-50,000",0,0,0.00,0057
20260226,9,"50,001-100,000",2,"147,000",9.62,0057
20260226,10,"100,001-200,000",6,"844,858",55.32,0057
20260226,11,"200,001-400,000",0,0,0.00,0057
20260226,12,"400,001-600,000",0,0,0.00,0057
20260226,13,"600,001-800,000",0,0,0.00,0057
20260226,14,"800,001-1,000,000",0,0,0.00,0057
20260226,15,"1,000,001以上",0,0,0.00,0057
20260226,16,合　計,628,"1,527,000",100.00,0057
20260213,1,1-999,535,"42,269",2.76,0057
20260213,2,"1,000-5,000",122,"230,960",15.12,0057
20260213,3,"5,001-10,000",8,"60,572",3.96,0057
20260213,4,"10,001-15,000",7,"84,100",5.50,0057
20260213,5,"15,001-20,000",1,"17,000",1.11,0057
20260213,6,"20,001-30,000",2,"58,000",3.79,0057
20260213,7,"30,001-40,000",1,"32,000",2.09,0057
20260213,8,"40,001-50,000",0,0,0.00,0057
20260213,9,"50,001-100,000",2,"146,000",9.56,0057
20260213,10,"100,001-200,000",6,"856,099",56.06,0057
20260213,11,"200,001-400,000",0,0,0.00,0057
20260213,12,"400,001-600,000",0,0,0.00,0057
20260213,13,"600,001-800,000",0,0,0.00,0057
20260213,14,"800,001-1,000,000",0,0,0.00,0057
20260213,15,"1,000,001以上",0,0,0.00,0057
20260213,16,合　計,684,"1,527,000",100.00,0057
20260206,1,1-999,557,"41,826",2.73,0057
20260206,2,"1,000-5,000",119,"228,087",14.93,0057
20260206,3,"5,001-10,000",9,"66,572",4.35,0057
20260206,4,"10,001-15,000",7,"85,601",5.60,0057
20260206,5,"15,001-20,000",1,"17,000",1.11,0057
20260206,6,"20,001-30,000",2,"58,000",3.79,0057
20260206,7,"30,001-40,000",1,"32,000",2.09,0057
20260206,8,"40,001-50,000",1,"43,996",2.88,0057
20260206,9,"50,001-100,000",3,"241,918",15.84,0057
20260206,10,"100,001-200,000",3,"442,000",28.94,0057
20260206,11,"200,001-400,000",1,"270,000",17.68,0057
20260206,12,"400,001-600,000",0,0,0.00,0057
20260206,13,"600,001-800,000",0,0,0.00,0057
20260206,14,"800,001-1,000,000",0,0,0.00,0057
20260206,15,"1,000,001以上",0,0,0.00,0057
20260206,16,合　計,704,"1,527,000",100.00,0057
20260130,1,1-999,550,"40,404",2.64,0057
20260130,2,"1,000-5,000",123,"233,908",15.31,0057
20260130,3,"5,001-10,000",9,"66,572",4.35,0057
20260130,4,"10,001-15,000",7,"85,601",5.60,0057
20260130,5,"15,001-20,000",1,"17,000",1.11,0057
20260130,6,"20,001-30,000",3,"78,996",5.17,0057
20260130,7,"30,001-40,000",1,"32,000",2.09,0057
20260130,8,"40,001-50,000",0,0,0.00,0057
20260130,9,"50,001-100,000",3,"240,519",15.75,0057
20260130,10,"100,001-200,000",3,"441,000",28.88,0057
20260130,11,"200,001-400,000",1,"291,000",19.05,0057
20260130,12,"400,001-600,000",0,0,0.00,0057
20260130,13,"600,001-800,000",0,0,0.00,0057
20260130,14,"800,001-1,000,000",0,0,0.00,0057
20260130,15,"1,000,001以上",0,0,0.00,0057
20260130,16,合　計,701,"1,527,000",100.00,0057
20260123,1,1-999,424,"39,255",2.57,0057
20260123,2,"1,000-5,000",121,"232,292",15.21,0057
20260123,3,"5,001-10,000",10,"72,837",4.76,0057
20260123,4,"10,001-15,000",7,"85,101",5.57,0057
20260123,5,"15,001-20,000",1,"17,000",1.11,0057
20260123,6,"20,001-30,000",3,"86,996",5.69,0057
20260123,7,"30,001-40,000",1,"32,000",2.09,0057
20260123,8,"40,001-50,000",0,0,0.00,0057
20260123,9,"50,001-100,000",3,"236,519",15.48,0057
20260123,10,"100,001-200,000",3,"444,000",29.07,0057
20260123,11,"200,001-400,000",1,"281,000",18.40,0057
20260123,12,"400,001-600,000",0,0,0.00,0057
20260123,13,"600,001-800,000",0,0,0.00,0057
20260123,14,"800,001-1,000,000",0,0,0.00,0057
20260123,15,"1,000,001以上",0,0,0.00,0057
20260123,16,合　計,574,"1,527,000",100.00,0057
20260116,1,1-999,418,"37,784",2.47,0057
20260116,2,"1,000-5,000",119,"228,384",14.95,0057
20260116,3,"5,001-10,000",11,"82,837",5.42,0057
20260116,4,"10,001-15,000",7,"85,101",5.57,0057
20260116,5,"15,001-20,000",1,"17,000",1.11,0057
20260116,6,"20,001-30,000",2,"58,000",3.79,0057
20260116,7,"30,001-40,000",1,"32,000",2.09,0057
20260116,8,"40,001-50,000",0,0,0.00,0057
20260116,9,"50,001-100,000",2,"110,996",7.26,0057
20260116,10,"100,001-200,000",5,"654,898",42.88,0057
20260116,11,"200,001-400,000",1,"220,000",14.40,0057
20260116,12,"400,001-600,000",0,0,0.00,0057
20260116,13,"600,001-800,000",0,0,0.00,0057
20260116,14,"800,001-1,000,000",0,0,0.00,0057
20260116,15,"1,000,001以上",0,0,0.00,0057
20260116,16,合　計,567,"1,527,000",100.00,0057
20260109,1,1-999,372,"37,491",2.45,0057
20260109,2,"1,000-5,000",118,"227,715",14.91,0057
20260109,3,"5,001-10,000",10,"75,542",4.94,0057
20260109,4,"10,001-15,000",8,"99,365",6.50,0057
20260109,5,"15,001-20,000",1,"17,000",1.11,0057
20260109,6,"20,001-30,000",2,"58,000",3.79,0057
20260109,7,"30,001-40,000",2,"68,996",4.51,0057
20260109,8,"40,001-50,000",0,0,0.00,0057
20260109,9,"50,001-100,000",1,"54,000",3.53,0057
20260109,10,"100,001-200,000",5,"683,891",44.78,0057
20260109,11,"200,001-400,000",1,"205,000",13.42,0057
20260109,12,"400,001-600,000",0,0,0.00,0057
20260109,13,"600,001-800,000",0,0,0.00,0057
20260109,14,"800,001-1,000,000",0,0,0.00,0057
20260109,15,"1,000,001以上",0,0,0.00,0057
20260109,16,合　計,520,"1,527,000",100.00,0057
20260102,1,1-999,371,"37,863",2.47,0057
20260102,2,"1,000-5,000",118,"226,764",14.85,0057
20260102,3,"5,001-10,000",10,"76,292",4.99,0057
20260102,4,"10,001-15,000",8,"99,365",6.50,0057
20260102,5,"15,001-20,000",1,"17,000",1.11,0057
20260102,6,"20,001-30,000",2,"58,000",3.79,0057
20260102,7,"30,001-40,000",1,"32,000",2.09,0057
20260102,8,"40,001-50,000",0,0,0.00,0057
20260102,9,"50,001-100,000",4,"292,716",19.16,0057
20260102,10,"100,001-200,000",3,"440,000",28.81,0057
20260102,11,"200,001-400,000",1,"247,000",16.17,0057
20260102,12,"400,001-600,000",0,0,0.00,0057
20260102,13,"600,001-800,000",0,0,0.00,0057
20260102,14,"800,001-1,000,000",0,0,0.00,0057
20260102,15,"1,000,001以上",0,0,0.00,0057
20260102,16,合　計,519,"1,527,000",100.00,0057
20251226,1,1-999,374,"37,550",2.45,0057
20251226,2,"1,000-5,000",120,"225,459",14.76,0057
20251226,3,"5,001-10,000",12,"92,282",6.04,0057
20251226,4,"10,001-15,000",7,"89,365",5.85,0057
20251226,5,"15,001-20,000",1,"17,000",1.11,0057
20251226,6,"20,001-30,000",3,"78,996",5.17,0057
20251226,7,"30,001-40,000",1,"32,000",2.09,0057
20251226,8,"40,001-50,000",0,0,0.00,0057
20251226,9,"50,001-100,000",3,"237,348",15.54,0057
20251226,10,"100,001-200,000",3,"439,000",28.74,0057
20251226,11,"200,001-400,000",1,"278,000",18.20,0057
20251226,12,"400,001-600,000",0,0,0.00,0057
20251226,13,"600,001-800,000",0,0,0.00,0057
20251226,14,"800,001-1,000,000",0,0,0.00,0057
20251226,15,"1,000,001以上",0,0,0.00,0057
20251226,16,合　計,525,"1,527,000",100.00,0057
20251219,1,1-999,373,"36,709",2.40,0057
20251219,2,"1,000-5,000",121,"230,431",15.09,0057
20251219,3,"5,001-10,000",13,"98,150",6.42,0057
20251219,4,"10,001-15,000",8,"102,361",6.70,0057
20251219,5,"15,001-20,000",1,"17,000",1.11,0057
20251219,6,"20,001-30,000",2,"58,000",3.79,0057
20251219,7,"30,001-40,000",1,"32,000",2.09,0057
20251219,8,"40,001-50,000",0,0,0.00,0057
20251219,9,"50,001-100,000",1,"60,000",3.92,0057
20251219,10,"100,001-200,000",5,"668,349",43.76,0057
20251219,11,"200,001-400,000",1,"224,000",14.66,0057
20251219,12,"400,001-600,000",0,0,0.00,0057
20251219,13,"600,001-800,000",0,0,0.00,0057
20251219,14,"800,001-1,000,000",0,0,0.00,0057
20251219,15,"1,000,001以上",0,0,0.00,0057
20251219,16,合　計,526,"1,527,000",100.00,0057
20251212,1,1-999,376,"38,014",2.48,0057
20251212,2,"1,000-5,000",114,"222,572",14.57,0057
20251212,3,"5,001-10,000",13,"103,745",6.79,0057
20251212,4,"10,001-15,000",6,"77,100",5.04,0057
20251212,5,"15,001-20,000",3,"53,265",3.48,0057
20251212,6,"20,001-30,000",2,"58,000",3.79,0057
20251212,7,"30,001-40,000",2,"67,996",4.45,0057
20251212,8,"40,001-50,000",0,0,0.00,0057
20251212,9,"50,001-100,000",1,"58,000",3.79,0057
20251212,10,"100,001-200,000",3,"436,000",28.55,0057
20251212,11,"200,001-400,000",2,"412,308",27.00,0057
20251212,12,"400,001-600,000",0,0,0.00,0057
20251212,13,"600,001-800,000",0,0,0.00,0057
20251212,14,"800,001-1,000,000",0,0,0.00,0057
20251212,15,"1,000,001以上",0,0,0.00,0057
20251212,16,合　計,522,"1,527,000",100.00,0057
20251205,1,1-999,374,"36,858",2.41,0057
20251205,2,"1,000-5,000",117,"230,674",15.10,0057
20251205,3,"5,001-10,000",14,"113,807",7.45,0057
20251205,4,"10,001-15,000",6,"77,100",5.04,0057
20251205,5,"15,001-20,000",3,"51,265",3.35,0057
20251205,6,"20,001-30,000",2,"58,000",3.79,0057
20251205,7,"30,001-40,000",1,"32,000",2.09,0057
20251205,8,"40,001-50,000",0,0,0.00,0057
20251205,9,"50,001-100,000",3,"223,000",14.60,0057
20251205,10,"100,001-200,000",2,"332,000",21.74,0057
20251205,11,"200,001-400,000",1,"372,296",24.38,0057
20251205,12,"400,001-600,000",0,0,0.00,0057
20251205,13,"600,001-800,000",0,0,0.00,0057
20251205,14,"800,001-1,000,000",0,0,0.00,0057
20251205,15,"1,000,001以上",0,0,0.00,0057
20251205,16,合　計,523,"1,527,000",100.00,0057
20251128,1,1-999,377,"36,232",2.37,0057
20251128,2,"1,000-5,000",118,"228,323",14.95,0057
20251128,3,"5,001-10,000",14,"111,810",7.32,0057
20251128,4,"10,001-15,000",6,"77,100",5.04,0057
20251128,5,"15,001-20,000",3,"51,265",3.35,0057
20251128,6,"20,001-30,000",2,"54,000",3.53,0057
20251128,7,"30,001-40,000",1,"32,000",2.09,0057
20251128,8,"40,001-50,000",0,0,0.00,0057
20251128,9,"50,001-100,000",3,"233,000",15.25,0057
20251128,10,"100,001-200,000",2,"330,000",21.61,0057
20251128,11,"200,001-400,000",1,"373,270",24.44,0057
20251128,12,"400,001-600,000",0,0,0.00,0057
20251128,13,"600,001-800,000",0,0,0.00,0057
20251128,14,"800,001-1,000,000",0,0,0.00,0057
20251128,15,"1,000,001以上",0,0,0.00,0057
20251128,16,合　計,527,"1,527,000",100.00,0057
20251121,1,1-999,375,"36,659",2.40,0057
20251121,2,"1,000-5,000",116,"218,261",14.29,0057
20251121,3,"5,001-10,000",13,"102,810",6.73,0057
20251121,4,"10,001-15,000",7,"89,096",5.83,0057
20251121,5,"15,001-20,000",3,"51,265",3.35,0057
20251121,6,"20,001-30,000",2,"54,000",3.53,0057
20251121,7,"30,001-40,000",1,"32,000",2.09,0057
20251121,8,"40,001-50,000",0,0,0.00,0057
20251121,9,"50,001-100,000",3,"247,000",16.17,0057
20251121,10,"100,001-200,000",2,"326,000",21.34,0057
20251121,11,"200,001-400,000",1,"369,909",24.22,0057
