date,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%),stock_id
20260313,1,1-999,"410,785","98,866,113",0.70,2317
20260313,2,"1,000-5,000","569,546","1,187,947,711",8.47,2317
20260313,3,"5,001-10,000","88,877","665,643,299",4.74,2317
20260313,4,"10,001-15,000","29,928","373,801,486",2.66,2317
20260313,5,"15,001-20,000","15,385","275,503,932",1.96,2317
20260313,6,"20,001-30,000","14,576","362,217,298",2.58,2317
20260313,7,"30,001-40,000","6,534","229,637,531",1.63,2317
20260313,8,"40,001-50,000","3,968","181,041,059",1.29,2317
20260313,9,"50,001-100,000","6,693","465,992,464",3.32,2317
20260313,10,"100,001-200,000","2,722","371,165,983",2.64,2317
20260313,11,"200,001-400,000","1,007","277,285,946",1.97,2317
20260313,12,"400,001-600,000",350,"171,643,525",1.22,2317
20260313,13,"600,001-800,000",184,"127,430,723",0.90,2317
20260313,14,"800,001-1,000,000",120,"108,028,516",0.77,2317
20260313,15,"1,000,001以上",764,"9,122,082,315",65.07,2317
20260313,16,合　計,"1,151,439","14,018,287,901",100.00,2317
20260306,1,1-999,"401,503","96,762,765",0.69,2317
20260306,2,"1,000-5,000","558,254","1,163,989,204",8.30,2317
20260306,3,"5,001-10,000","87,071","651,909,108",4.65,2317
20260306,4,"10,001-15,000","29,492","368,304,701",2.62,2317
20260306,5,"15,001-20,000","15,186","271,915,890",1.93,2317
20260306,6,"20,001-30,000","14,396","357,786,789",2.55,2317
20260306,7,"30,001-40,000","6,459","227,026,333",1.61,2317
20260306,8,"40,001-50,000","3,938","179,678,482",1.28,2317
20260306,9,"50,001-100,000","6,628","460,897,614",3.28,2317
20260306,10,"100,001-200,000","2,724","370,256,891",2.64,2317
20260306,11,"200,001-400,000","1,018","279,725,011",1.99,2317
20260306,12,"400,001-600,000",354,"173,507,129",1.23,2317
20260306,13,"600,001-800,000",176,"122,440,922",0.87,2317
20260306,14,"800,001-1,000,000",123,"110,113,566",0.78,2317
20260306,15,"1,000,001以上",776,"9,183,979,496",65.51,2317
20260306,16,差異數調整（說明4）,,"-6,000",-0.00,2317
20260306,17,合　計,"1,128,098","14,018,287,901",100.00,2317
20260226,1,1-999,"393,887","95,738,880",0.68,2317
20260226,2,"1,000-5,000","549,377","1,145,080,876",8.17,2317
20260226,3,"5,001-10,000","86,106","645,130,979",4.60,2317
20260226,4,"10,001-15,000","28,965","361,835,807",2.58,2317
20260226,5,"15,001-20,000","15,033","269,335,196",1.92,2317
20260226,6,"20,001-30,000","14,111","350,649,559",2.50,2317
20260226,7,"30,001-40,000","6,336","222,712,978",1.58,2317
20260226,8,"40,001-50,000","3,939","179,554,576",1.28,2317
20260226,9,"50,001-100,000","6,555","455,664,113",3.25,2317
20260226,10,"100,001-200,000","2,695","366,570,032",2.61,2317
20260226,11,"200,001-400,000","1,022","281,100,206",2.00,2317
20260226,12,"400,001-600,000",345,"168,951,631",1.20,2317
20260226,13,"600,001-800,000",170,"118,185,651",0.84,2317
20260226,14,"800,001-1,000,000",128,"114,516,263",0.81,2317
20260226,15,"1,000,001以上",775,"9,234,545,388",65.91,2317
20260226,16,差異數調整（說明4）,,"-29,250",-0.00,2317
20260226,17,合　計,"1,109,444","14,009,542,885",100.00,2317
20260213,1,1-999,"401,182","98,444,191",0.70,2317
20260213,2,"1,000-5,000","567,773","1,186,607,781",8.47,2317
20260213,3,"5,001-10,000","88,871","665,445,778",4.75,2317
20260213,4,"10,001-15,000","29,918","373,751,443",2.66,2317
20260213,5,"15,001-20,000","15,404","275,966,691",1.97,2317
20260213,6,"20,001-30,000","14,456","359,138,850",2.56,2317
20260213,7,"30,001-40,000","6,510","228,793,479",1.63,2317
20260213,8,"40,001-50,000","3,976","181,181,352",1.29,2317
20260213,9,"50,001-100,000","6,626","460,027,200",3.28,2317
20260213,10,"100,001-200,000","2,729","371,329,729",2.65,2317
20260213,11,"200,001-400,000","1,030","282,558,325",2.01,2317
20260213,12,"400,001-600,000",355,"174,484,405",1.24,2317
20260213,13,"600,001-800,000",165,"114,521,810",0.81,2317
20260213,14,"800,001-1,000,000",132,"118,426,159",0.84,2317
20260213,15,"1,000,001以上",771,"9,116,846,058",65.08,2317
20260213,16,合　計,"1,139,898","14,007,523,251",100.00,2317
20260206,1,1-999,"404,480","99,249,712",0.70,2317
20260206,2,"1,000-5,000","574,173","1,200,781,906",8.57,2317
20260206,3,"5,001-10,000","89,788","672,140,719",4.79,2317
20260206,4,"10,001-15,000","30,204","377,331,116",2.69,2317
20260206,5,"15,001-20,000","15,528","278,099,693",1.98,2317
20260206,6,"20,001-30,000","14,573","361,951,049",2.58,2317
20260206,7,"30,001-40,000","6,594","231,727,951",1.65,2317
20260206,8,"40,001-50,000","3,977","181,185,681",1.29,2317
20260206,9,"50,001-100,000","6,701","465,426,308",3.32,2317
20260206,10,"100,001-200,000","2,734","371,757,347",2.65,2317
20260206,11,"200,001-400,000","1,036","284,346,614",2.02,2317
20260206,12,"400,001-600,000",355,"174,309,448",1.24,2317
20260206,13,"600,001-800,000",166,"115,208,532",0.82,2317
20260206,14,"800,001-1,000,000",137,"122,739,598",0.87,2317
20260206,15,"1,000,001以上",768,"9,071,267,577",64.75,2317
20260206,16,合　計,"1,151,214","14,007,523,251",100.00,2317
20260130,1,1-999,"402,702","98,275,664",0.70,2317
20260130,2,"1,000-5,000","569,512","1,187,809,349",8.48,2317
20260130,3,"5,001-10,000","88,349","661,374,514",4.72,2317
20260130,4,"10,001-15,000","29,776","371,738,984",2.65,2317
20260130,5,"15,001-20,000","15,379","275,555,703",1.96,2317
20260130,6,"20,001-30,000","14,313","355,349,928",2.53,2317
20260130,7,"30,001-40,000","6,485","227,884,088",1.62,2317
20260130,8,"40,001-50,000","3,949","179,800,908",1.28,2317
20260130,9,"50,001-100,000","6,629","460,588,948",3.28,2317
20260130,10,"100,001-200,000","2,705","367,418,365",2.62,2317
20260130,11,"200,001-400,000","1,055","290,098,656",2.07,2317
20260130,12,"400,001-600,000",339,"166,625,405",1.18,2317
20260130,13,"600,001-800,000",168,"116,685,181",0.83,2317
20260130,14,"800,001-1,000,000",132,"118,031,921",0.84,2317
20260130,15,"1,000,001以上",777,"9,129,131,604",65.17,2317
20260130,16,差異數調整（說明4）,,"-57,746",-0.00,2317
20260130,17,合　計,"1,142,270","14,006,311,472",100.00,2317
20260123,1,1-999,"402,901","98,366,451",0.70,2317
20260123,2,"1,000-5,000","567,244","1,183,190,269",8.44,2317
20260123,3,"5,001-10,000","87,875","657,556,923",4.69,2317
20260123,4,"10,001-15,000","29,608","369,542,149",2.63,2317
20260123,5,"15,001-20,000","15,321","274,407,378",1.95,2317
20260123,6,"20,001-30,000","14,251","353,578,473",2.52,2317
20260123,7,"30,001-40,000","6,474","227,391,555",1.62,2317
20260123,8,"40,001-50,000","3,952","179,904,198",1.28,2317
20260123,9,"50,001-100,000","6,599","459,191,394",3.27,2317
20260123,10,"100,001-200,000","2,680","364,303,855",2.60,2317
20260123,11,"200,001-400,000","1,059","291,220,596",2.07,2317
20260123,12,"400,001-600,000",334,"164,623,171",1.17,2317
20260123,13,"600,001-800,000",170,"118,482,839",0.84,2317
20260123,14,"800,001-1,000,000",135,"120,913,752",0.86,2317
20260123,15,"1,000,001以上",776,"9,141,619,835",65.27,2317
20260123,16,差異數調整（說明4）,,"-1,000",-0.00,2317
20260123,17,合　計,"1,139,379","14,004,291,838",100.00,2317
20260116,1,1-999,"398,334","96,731,104",0.69,2317
20260116,2,"1,000-5,000","554,039","1,153,590,181",8.23,2317
20260116,3,"5,001-10,000","85,524","640,034,745",4.57,2317
20260116,4,"10,001-15,000","28,994","361,755,827",2.58,2317
20260116,5,"15,001-20,000","14,981","268,395,319",1.91,2317
20260116,6,"20,001-30,000","14,026","347,992,890",2.48,2317
20260116,7,"30,001-40,000","6,372","223,916,090",1.59,2317
20260116,8,"40,001-50,000","3,890","176,992,777",1.26,2317
20260116,9,"50,001-100,000","6,562","456,641,544",3.26,2317
20260116,10,"100,001-200,000","2,645","359,683,365",2.56,2317
20260116,11,"200,001-400,000","1,055","290,667,091",2.07,2317
20260116,12,"400,001-600,000",339,"167,238,548",1.19,2317
20260116,13,"600,001-800,000",168,"117,389,754",0.83,2317
20260116,14,"800,001-1,000,000",137,"123,111,088",0.87,2317
20260116,15,"1,000,001以上",778,"9,219,262,876",65.83,2317
20260116,16,合　計,"1,117,844","14,003,403,199",100.00,2317
20260109,1,1-999,"398,403","96,798,973",0.69,2317
20260109,2,"1,000-5,000","554,663","1,154,975,905",8.24,2317
20260109,3,"5,001-10,000","85,737","641,409,308",4.58,2317
20260109,4,"10,001-15,000","28,998","361,881,032",2.58,2317
20260109,5,"15,001-20,000","15,015","268,989,266",1.92,2317
20260109,6,"20,001-30,000","14,032","348,202,343",2.48,2317
20260109,7,"30,001-40,000","6,365","223,415,493",1.59,2317
20260109,8,"40,001-50,000","3,887","176,774,265",1.26,2317
20260109,9,"50,001-100,000","6,551","455,214,045",3.25,2317
20260109,10,"100,001-200,000","2,632","357,251,488",2.55,2317
20260109,11,"200,001-400,000","1,048","289,225,534",2.06,2317
20260109,12,"400,001-600,000",338,"166,354,539",1.18,2317
20260109,13,"600,001-800,000",168,"116,967,661",0.83,2317
20260109,14,"800,001-1,000,000",140,"125,051,676",0.89,2317
20260109,15,"1,000,001以上",786,"9,220,891,671",65.84,2317
20260109,16,合　計,"1,118,763","14,003,403,199",100.00,2317
20260102,1,1-999,"397,336","96,906,453",0.69,2317
20260102,2,"1,000-5,000","549,350","1,144,216,838",8.17,2317
20260102,3,"5,001-10,000","84,843","634,183,586",4.52,2317
20260102,4,"10,001-15,000","28,703","358,180,760",2.55,2317
20260102,5,"15,001-20,000","14,822","265,323,060",1.89,2317
20260102,6,"20,001-30,000","13,928","345,559,960",2.46,2317
20260102,7,"30,001-40,000","6,307","221,265,834",1.58,2317
20260102,8,"40,001-50,000","3,844","174,748,259",1.24,2317
